PolicyID,ClaimAmount
20944,610
20947,2547
20954,852
20984,1095
20989,1156
21003,1116
21003,79
21143,1160
21144,1161
21146,1111
21148,69
21181,1136
21196,392
21210,1091
21236,118
21240,3345
21251,840
21269,1171
21297,1172
21341,1150
21363,1049
21373,848
21422,74
21431,397
21432,1117
21433,1163
21439,4361
21508,3740
21547,1540
21549,1094
21551,6623
21573,1142
21574,350
21583,1172
21642,2048
21648,1141
21703,1148
21706,4365
21707,333
21716,1216
21728,71
21747,1141
21747,425
21751,1136
21754,1992
21770,1115
21772,1863
21784,1113
21792,215
21795,1099
21797,1117
21897,1571
21931,128
21941,1117
21942,1145
21980,1201
21999,1091
22045,550
22069,1697
22078,679
22105,1157
22116,1373
22118,1870
22125,561
22179,1653
22190,480
22194,188
22209,1114
22234,1141
22247,1090
22255,557
22264,1165
22266,1158
22267,1669
22287,60
22311,1050
22335,1340
22339,7288
22342,55
22347,70
22386,1067
22389,1147
22391,46
22401,1125
22418,1144
22426,582
22451,1019
22463,25225
22466,1130
22484,1107
22485,1076
22533,1812
22567,1092
22587,1137
22593,1166
22611,1164
22623,1120
22636,3205
22649,2658
22651,1121
22668,24131
22670,391
22672,1163
22675,1411
22692,476
22708,46
22709,1133
22710,582
22712,345
22720,1154
22734,1059
22738,7513
22742,1086
22756,1136
22818,208
22825,1235
22828,1132
22836,5896
22879,367
22913,1162
22948,878
22950,1135
22961,1601
22966,1143
22968,1144
22969,1335
23032,6146
23042,1137
23049,1137
23051,4146
23059,1134
23090,76
23094,1113
23094,837
23100,1102
23113,1068
23119,2853
23168,2299
23177,1135
23205,1147
23207,1123
23213,1155
23220,1150
23223,1169
23223,1494
23229,1116
23241,68
23241,1071
23242,1161
23244,1973
23249,1141
23328,5308
23385,1105
23394,1141
23404,1119
23419,460
23420,1339
23423,1129
23429,72
23437,1114
23448,1125
23451,1121
23456,1137
23459,558
23479,236
23504,2602
23540,845
23609,433
23620,11894
23621,1118
23629,1091
23654,4728
23657,398
23669,494
23693,1864
23693,1284
23701,1113
23703,970
23707,148
23733,1125
23757,1115
23814,1777
23824,97
23843,1092
23853,1677
23865,16
23896,1356
23907,58
23954,70
23960,2273
23986,1604
23992,1128
24017,1092
24051,1175
24053,1297
24053,72
24056,1148
24071,19815
24078,4236
24113,809
24114,71
24114,1141
24170,63
24170,2491
24186,49
24193,1142
24199,1113
24204,72960
24211,2368
24225,494
24241,238
24272,1133
24342,332
24364,637
24379,122
24398,344
24420,9566
24423,5673
24473,803
24485,1174
24509,1122
24517,714
24533,738
24534,53
24535,1832
24545,8977
24551,1153
24561,390
24577,554
24585,1100
24585,1121
24585,1252
24622,1135
24644,445
24656,2648
24662,4349
24662,1141
24674,6742
24677,1138
24692,67
24708,1129
24715,182
24732,604
24743,1129
24768,2391
24793,69
24793,1175
24793,5476
24797,1106
24822,1088
24829,3252
24830,41647
24870,845
24876,1138
24883,1348
24923,921
24958,457
24964,256
24984,62
25041,593
25048,312
25048,1140
25097,570
25137,5941
25140,3614
25154,1110
25159,1138
25161,1087
25194,1156
25338,1861
25338,29
25354,2780
25422,638
25453,1097
25474,1172
25488,892
25499,60
25519,79
25521,340
25582,1089
25615,1142
25651,1225
25653,1104
25656,1178
25745,2330
25761,179
25786,1156
25814,1145
25820,1121
25870,1190
25899,90
25902,1136
25910,1135
25935,1129
25935,1116
25940,1113
25979,1144
25999,2414
26000,83
26005,1070
26027,214
26032,1120
26041,1147
26054,1063
26089,60
26122,213
26158,1128
26170,91
26171,862
26179,1143
26192,1103
26194,1526
26196,1115
26213,1167
26251,1119
26298,558
26304,84
26316,567
26326,420
26338,2409
26389,1148
26396,1196
26400,5223
26409,811
26469,1136
26472,139
26474,1119
26478,5731
26506,1078
26535,1112
26559,6975
26559,569
26559,551
26579,1114
26583,38993
26583,1091
26618,7939
26643,1069
26652,1157
26665,143
26695,2766
26705,2860
26709,1148
26725,813
26753,2632
26766,73
26790,1309
26797,1232
26817,1111
26826,1169
26826,1124
26830,68
26833,2043
26837,1123
26864,89
26887,1115
26898,1104
26898,1134
26957,82
26963,1501
26974,390
26976,1124
26977,1202
26990,1136
26996,5
27033,3255
27050,553
27069,3280
27097,1144
27102,1160
27106,1145
27112,1192
27127,4815
27153,706
27160,1147
27165,13869
27231,1118
27239,174
27243,1127
27255,1102
27263,253
27272,1399
27294,162
27315,1133
27331,196
27361,653
27385,289
27415,434
27415,1452
27433,1101
27436,1114
27448,797
27450,1178
27450,1122
27454,1178
27467,1114
27469,422
27471,9703
27474,4961
27481,750
27487,206
27489,1154
27505,343
27508,840
27516,4369
27579,71
27594,1131
27599,1152
27641,1142
27643,1143
27684,76
27687,1118
27696,1160
27704,1652
27707,1103
27758,2006
27804,994
27817,56
27832,1177
27837,238
27842,1174
27889,1140
27894,1158
27894,1132
27906,609
27908,217
27915,1151
27948,572
27956,1117
27967,269
28008,1382
28029,1167
28065,1124
28084,3040
28093,1123
28112,461
28148,1107
28156,1161
28167,613
28212,2272
28217,1138
28232,1179
28238,1164
28247,1216
28288,1907
28318,20909
28350,1143
28352,1118
28354,1096
28357,1153
28383,1245
28415,2526
28429,1171
28515,1184
28532,1077
28606,4712
28612,640
28648,4233
28676,56
28722,1093
28834,71
28867,1666
28874,1825
28874,1091
28890,2216
28903,1121
28938,1118
28948,950
29031,95
29063,1141
29092,1091
29104,1167
29113,1070
29128,2218
29128,1084
29155,1138
29175,1117
29177,1977
29182,412
29215,1146
29222,1110
29241,127
29242,1171
29314,1173
29320,590
29325,1108
29326,39
29327,617
29341,1104
29350,1188
29355,844
29420,695
29449,275
29451,1134
29452,327
29528,1123
29586,1429
29589,1146
29593,1138
29596,1121
29613,1100
29620,1102
29630,1108
29670,1116
29785,600
29803,578
29804,1156
29804,1620
29813,89
29831,1074
29835,1155
29921,1165
29927,2333
29935,638
29970,1075
29980,1080
29983,1097
30023,310
30029,53
30038,2211
30042,1070
30061,1072
30077,1183
30080,1132
30103,67
30110,103
30179,68
30179,535
30185,500
30188,1125
30189,596
30229,203
30256,1097
30268,783
30309,1117
30336,958
30349,2045
30358,1746
30359,1078
30382,1146
30440,37
30467,1579
30508,1074
30581,5179
30584,14737
30626,1864
30640,1200
30676,7785
30712,644
30725,486
30759,371
30806,1091
30858,264
30862,1195
30915,1206
30962,23
30966,1266
30976,3319
30976,256
30986,1165
31005,5901
31019,179
31021,1211
31026,48
31038,1082
31052,70
31075,208
31091,2463
31111,3847
31124,1115
31129,1132
31134,549
31148,2382
31159,922
31182,1929
31183,2273
31189,2392
31190,1128
31191,1075
31191,1106
31205,1074
31208,371
31213,1171
31217,45
31234,481
31238,76
31253,1136
31313,500
31334,563
31356,497
31371,558
31373,116
31374,1101
31392,1185
31403,1150
31429,2047
31461,1300
31463,1165
31488,812
31530,1143
31540,1137
31554,717
31561,1072
31583,381
31599,1125
31603,1141
31625,1167
31636,2705
31638,114
31683,223
31707,1141
31712,704
31715,1131
31730,986
31752,82
31753,142
31774,277
31779,1092
31783,2374
31790,1110
31798,1746
31833,1219
31835,13000
31876,1138
31883,1227
31886,1163
31900,1120
31906,1096
31913,1121
31935,1189
31970,1099
31988,1085
31995,1121
32012,1191
32060,2352
32065,1178
32075,2902
32158,1116
32171,1097
32175,1140
32214,1083
32218,2210
32223,1191
32233,2017
32233,1164
32234,1097
32235,763
32264,96
32285,1137
32296,60
32311,201
32317,1178
32326,1078
32334,374
32342,1306
32358,4161
32366,1775
32411,1228
32413,1155
32421,348
32455,1137
32456,1146
32469,1106
32497,638
32504,525
32592,1072
32596,1115
32619,1146
32638,566
32668,1170
32678,1109
32700,1155
32703,1159
32716,1091
32798,1031
32814,140
32849,607
32893,893
32950,1138
32985,1208
32992,1167
33001,1016
33005,3182
33023,1142
33045,1195
33047,1145
33085,109
33130,68
33149,1067
33151,1161
33161,1108
33161,1175
33224,1133
33254,1177
33278,1075
33322,580
33328,3547
33351,3716
33356,1148
33382,586
33453,1148
33508,1088
33508,1143
33522,210
33531,1114
33539,1111
33541,1117
33566,1124
33568,4511
33579,5492
33647,12318
33649,629
33661,6870
33699,62
33702,1324
33706,2050
33716,1144
33801,1103
33810,9588
33828,88
33835,16740
33863,1132
33868,1088
33872,1698
33924,1143
33940,1128
33950,1120
33951,1122
33973,1122
33973,306
33973,1133
34004,2517
34009,75
34032,1120
34040,1159
34081,1271
34088,12
34101,2138
34141,75060
34161,12748
34171,88
34176,540
34190,2584
34203,824
34206,1089
34228,1100
34253,1157
34271,551
34279,13549
34282,845
34293,1124
34327,1356
34347,1094
34354,1109
34375,1122
34375,1402330
34376,151
34395,1122
34399,1165
34412,1262
34418,1129
34505,1884
34508,1098
34524,1166
34530,1144
34534,1041
34570,1141
34576,1113
34608,1183
34615,79
34640,80
34642,1049
34658,2267
34775,1151
34797,1174
34811,297
34817,71
34849,1455
34851,1104
34853,198
34865,1071
34869,1072
34871,1134
34903,1118
34910,58
34916,65
34925,829
34968,8222
34977,5
35058,1239
35089,2842
35120,1139
35197,1137
35197,992
35203,1117
35219,243
35283,1150
35292,917
35296,1138
35303,1113
35307,4350
35448,1051
35450,1156
35462,1576
35464,1082
35468,661
35542,1143
35589,1173
35597,754
35623,1097
35645,7706
35689,400
35799,656
35824,79
35850,3215
35910,52
35953,2184
35953,1786
35977,1068
36048,1106
36054,2727
36066,1384
36090,1117
36155,545
36237,404
36243,1105
36278,1178
36307,1215
36316,32
36357,1232
36393,585
36429,1140
36447,1574
36511,3453
36549,799
36549,1170
36552,72479
36598,48
36642,1136
36663,2788
36688,2908
36703,76
36782,581
36794,1050
36798,345
36868,1099
36870,1169
36875,613
36903,760
36909,1176
36912,1162
36921,1114
36961,1133
36988,519
36991,1162
37008,8975
37070,1135
37096,360
37114,1197
37129,742
37167,138
37173,1220
37279,1088
37279,1422
37325,987
37384,151
37414,17183
37459,1185
37462,21
37466,91
37473,574
37491,972
37517,273
37547,1745
37547,1177
37552,1186
37638,1051
37639,3453
37642,896
37654,653
37680,1111
37687,1079
37712,1184
37826,1155
37828,1139
37838,1568
37844,1376
37881,1102
37897,824
37898,3499
37909,1324
37945,1104
37966,2157
37973,71
38029,2198
38039,905
38060,1100
38092,1148
38115,1167
38119,1078
38123,45531
38176,4436
38182,67
38244,1010
38262,1060
38274,1139
38280,431
38308,4000
38329,2402
38344,1172
38350,79
38351,1190
38354,4567
38385,1102
38398,43
38408,1158
38411,1145
38418,1116
38418,1145
38424,1103
38436,63
38443,512
38471,1121
38488,203
38489,2552
38510,1065
38525,1137
38531,2900
38546,1113
38558,1128
38572,338
38662,75
38672,1401
38678,5740
38686,1171
38714,87
38731,1107
38751,61
38797,1111
38802,1125
38809,66
38822,1149
38875,60
38948,1155
38951,2533
38965,375
39012,1133
39015,90
39034,1158
39048,3770
39067,1986
39088,515
39114,153
39121,1744
39136,1052
39143,1177
39143,1163
39161,1117
39171,508
39176,1115
39180,30
39208,2853
39227,1095
39228,408
39242,480
39289,635
39299,1076
39327,1169
39340,1618
39363,10971
39369,417
39381,89
39384,87
39387,530
39435,1125
39442,1153
39517,1541
39551,3009
39565,1102
39571,1331
39636,76
39642,698
39651,1163
39656,472
39665,1175
39687,1096
39715,1103
39769,47
39807,1320
39811,2307
39832,1179
39834,69
39843,1000
39849,273
39856,3622
39897,620
39951,1133
39972,581
40032,4355
40046,2255
40061,1157
40061,677
40077,1987
40079,1112
40153,371
40205,1206
40212,1151
40259,316
40272,773
40273,587
40293,1096
40326,1188
40328,1078
40339,1030
40356,1134
40399,4860
40423,1116
40451,1155
40534,1512
40538,1081
40550,1148
40582,1100
40602,1082
40619,1857
40622,1147
40644,1138
40672,1058
40740,1110
40769,1115
40786,1530
40806,520
40834,1163
40870,2700
40873,2594
40889,2100
40905,85
40914,120
40945,1127
40953,1200
40958,82
40977,670
40989,759
41000,1095
41029,73
41113,1156
41126,1526
41142,1133
41144,850
41228,3092
41234,197
41240,2218
41262,77
41292,1061
41307,1096
41311,1156
41355,1129
41372,1126
41392,265
41407,2321
41411,1133
41413,278
41431,670
41491,1117
41551,1089
41595,80
41609,10016
41619,2810
41656,695
41664,798
41719,341
41768,1099
41776,1149
41779,1105
41806,1184
41846,1158
41932,12762
41949,1410
41957,2732
41993,65
42010,4944
42055,545
42139,1169
42139,1169
42157,2161
42162,1082
42162,1012
42162,122
42186,1111
42194,71
42213,1029
42300,1177
42308,1072
42327,1101
42329,79
42336,1102
42372,1102
42410,1209
42413,1133
42423,81
42438,1183
42445,1166
42445,1075
42529,1194
42532,1110
42537,1117
42558,1148
42564,1110
42567,555
42587,4675
42609,3427
42611,1116
42628,1096
42653,1165
42654,305
42657,106
42676,1088
42687,947
42703,515
42732,1148
42764,1128
42764,1100
42806,1179
42819,1089
42829,501
42869,1060
42880,2185
42918,1148
42952,1133
43015,1099
43016,1131
43023,1086
43044,272
43057,1177
43071,1128
43077,1145
43077,1118
43147,1087
43155,1152
43155,1228
43167,1217
43168,754
43200,270
43242,124
43305,588
43366,646
43426,1852
43427,5557
43445,1146
43505,1114
43570,337
43581,1096
43582,533
43620,67
43659,2581
43689,1104
43704,1111
43713,782
43715,387
43743,1075
43763,1126
43842,409
43844,62
43864,123
43880,1929
43887,2269
44000,1108
44049,1141
44089,3554
44122,1143
44192,2540
44197,1114
44214,76
44235,13
44240,1079
44258,1090
44269,531
44294,1113
44336,1186
44342,312
44349,47
44369,1075
44397,1166
44397,868
44419,1109
44433,503
44449,105
44459,1108
44497,1081
44504,1204
44539,2455
44547,10168
44561,1619
44562,1123
44563,1127
44572,1415
44578,589
44599,1076
44633,1385
44657,1128
44660,1138
44675,1155
44676,1151
44695,740
44748,1070
44768,818
44780,2380
44794,1126
44799,1143
44801,1134
44809,1125
44817,1166
44841,1199
44846,683
44874,1130
44876,1104
44901,1157
44909,369
44931,239
44959,1160
44993,1129
45001,1122
45028,1049
45060,1127
45068,86
45072,462
45072,1161
45100,182
45107,52
45123,1133
45131,1534
45133,510
45162,62
45170,1136
45193,1096
45212,1408
45235,1174
45243,1120
45262,630
45278,1132
45284,589
45310,1419
45346,1150
45366,677
45372,1175
45404,1136
45420,1142
45459,1131
45481,1095
45489,2237
45516,597
45520,1104
45549,1107
45647,2362
45678,660
45699,2996
45708,1119
45738,726
45738,1121
45760,1115
45821,1161
45828,448
45830,3670
45866,1092
45870,1079
45917,1173
45919,3872
45922,1949
45932,1173
45938,1935
45952,851
45995,1220
46000,844
46112,4716
46158,1158
46175,1100
46197,2222
46201,16100
46215,34856
46249,5078
46253,224
46256,58
46266,85
46270,2689
46293,1179
46334,687
46355,4157
46358,1053
46359,311
46366,4552
46404,64125
46405,341
46472,6992
46474,52
46521,414
46542,1137
46551,1137
46587,1160
46592,1118
46610,2506
46611,2386
46623,1137
46624,1147
46632,1184
46635,4290
46665,1164
46674,19618
46683,1133
46683,1141
46684,2531
46702,1081
46742,70
46750,114
46761,88
46801,1116
46810,393
46813,1129
46823,3586
46854,102
46891,1268
46924,1147
46931,619
46947,1103
46967,472
46978,758
46989,1157
47001,1156
47047,1127
47089,1138
47140,73
47146,5043
47207,1103
47237,1156
47291,1136
47310,79
47315,1125
47363,84
47364,1109
47373,415
47388,322
47416,1138
47430,1108
47443,795
47444,1115
47461,2634
47463,1195
47467,1112
47474,629
47477,1296
47501,42
47526,757
47534,875
47536,1143
47611,1149
47611,678
47674,1091
47689,1103
47700,1096
47717,1129
47753,1135
47761,1014
47764,71
47806,1150
47832,1141
47882,569
47884,1132
47930,107
47931,226
47968,1164
47994,1122
47995,1130
48010,1136
48039,1016
48041,1841
48055,9432
48092,1134
48123,1132
48182,1390
48208,1130
48212,3002
48213,49
48219,1717
48238,58
48245,71
48245,1081
48285,1470
48294,159
48296,1148
48464,1095
48481,1122
48484,355
48492,1105
48501,1154
48525,62
48548,2236
48552,70
48554,1131
48556,890
48580,1082
48613,1125
48618,1089
48639,306
48651,1527
48706,1113
48732,1175
48740,72
